"filename", "language", "JSON", "pip requirements", "Markdown", "Python", "Database", "HTML", "JavaScript", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/css/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 11, 85
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/css/mealCard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 18, 123
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/css/mealDisplay.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 29, 184
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/css/sidenav.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 7, 71
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/css/sign-up.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4499, 31, 591, 5121
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/css/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 9, 63
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/css/survey.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4499, 31, 591, 5121
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 3, 25
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 6, 72
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/App.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/ContactForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 5, 70
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/Alert.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/LoadingSpinner.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/PageLayout.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/RequireAuth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/Sidenav.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/Unauthorized.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/charts/barChart.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 2, 26, 188
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/charts/lineChart.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 17, 78
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/charts/pieChart.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 18, 77
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/charts/scatterChart.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 5, 28, 153
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/charts/utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 1, 25, 178
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/dropdown.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/login.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 2, 9, 87
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/mealCard.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 1, 10, 143
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/mealDisplay.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 1, 29, 277
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/nextMealCard.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 1, 18, 157
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/profile.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 8, 122
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/profileComponent2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 6, 13, 118
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/components/signup.component.js", "JavaScript", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 5, 12, 114
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/context/AppProvider.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/context/AuthProvider.js", "JavaScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 6, 7, 70
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/context/DashProvider.js", "JavaScript", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 7, 26, 126
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/controller/authController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 3, 44
"/Users/nicholassteinly/Library/CloudStorage/OneDrive-DukeUniversity/portfolio/DukeNutrition/frontend/src/javascript/controller/charts/barChartController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 23
