Name,Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,Restaurant
Americano Decaffeinated,38,0,0.0,0%,0.0,0%,0,0,0%,75,3%,620,13%,0,0%,0,0%,0,4,0%,0%,Bella_Union
Americano Regular,57,18,2.0,3%,0.0,0%,0,0,0%,75,3%,660,14%,0,0%,0,0%,0,0,0%,0%,Bella_Union
Cafe Au Lait Oat Milk,368,0,0.0,0%,2.0,10%,0,0,0%,330,14%,580,12%,47,16%,2,7%,6,8,15%,10%,Bella_Union
Cafe Au Lait Skim Milk,99,0,0.0,0%,0.0,0%,0,0,0%,140,6%,30,1%,15,5%,0,0%,14,10,35%,0%,Bella_Union
Cafe Au Lait Soy Milk,169,63,7.0,10%,0.0,0%,0,0,0%,450,19%,55,1%,17,6%,0,0%,13,9,0%,0%,Bella_Union
Cafe Au Lait Whole Milk,265,117,13.0,20%,8.0,41%,0,60,19%,210,9%,35,1%,21,7%,0,0%,20,13,50%,0%,Bella_Union
Cappuccino Oat Milk,242,0,0.0,0%,1.5,7%,0,0,0%,220,9%,390,8%,30,10%,1,5%,4,5,10%,6%,Bella_Union
Cappuccino Skim Milk,110,0,0.0,0%,0.0,0%,0,0,0%,160,7%,40,1%,16,5%,0,0%,15,11,40%,0%,Bella_Union
Cappuccino Soy Milk,118,40,4.5,7%,0.0,0%,0,0,0%,310,13%,40,1%,11,4%,0,0%,9,6,0%,0%,Bella_Union
Cappuccino Whole Milk,229,99,11.0,18%,7.0,36%,0,50,17%,180,8%,15,0%,18,6%,0,0%,17,11,45%,0%,Bella_Union
Carl's Macchiato Oat Milk,319,0,0.0,0%,1.0,6%,0,0,0%,200,8%,350,7%,52,17%,1,4%,28,5,8%,6%,Bella_Union
Carl's Macchiato Skim Milk,196,0,0.0,0%,0.0,0%,0,0,0%,150,6%,35,1%,38,13%,0,0%,37,10,35%,0%,Bella_Union
Carl's Macchiato Soy Milk,202,36,4.0,6%,0.0,0%,0,0,0%,290,12%,35,1%,33,11%,0,0%,31,6,0%,0%,Bella_Union
Carl's Macchiato Whole Milk,292,90,10.0,15%,6.0,31%,0,45,14%,160,7%,35,1%,39,13%,0,0%,37,10,35%,0%,Bella_Union
Decaf Mocha Oat Milk,289,0,0.0,0%,1.5,6%,0,0,0%,220,9%,370,8%,42,14%,2,8%,17,6,8%,6%,Bella_Union
Decaf Mocha Skim Milk,268,0,0.0,1%,0.0,0%,0,0,0%,270,11%,60,1%,46,15%,2,6%,44,18,60%,0%,Bella_Union
Decaf Mocha Soy Milk,224,54,6.0,9%,0.0,0%,0,0,0%,410,17%,45,1%,31,10%,1,5%,28,9,0%,0%,Bella_Union
